,Price,Mileage,Make,Model,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather
0,12878.04683,19225.0,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,1,1,1
1,22244.87655,50387.0,SAAB,9_3,Linear Sedan 4D,Sedan,4,2.0,4,1,0,1
2,11045.10884,24568.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,1,0,1
3,20986.01602,27096.0,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,0
4,17789.34673,26980.0,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,1,1,0
5,19448.22633,27721.0,Pontiac,Grand Prix,GTP Sedan 4D,Sedan,6,3.8,4,1,0,1
6,15635.79616,1169.0,Chevrolet,Cobalt,LS Coupe 2D,Coupe,4,2.2,2,0,1,1
7,14703.136869999998,23335.0,Pontiac,Grand Am,GT Coupe 2D,Coupe,6,3.4,2,0,1,1
8,22311.04951,11221.0,Pontiac,G6,GT Sedan 4D,Sedan,6,3.5,4,1,1,1
9,12830.09878,17830.0,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,1,1,1
10,11017.16871,20100.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,0,1,0
11,32501.245189999998,17508.0,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,0,1
12,65281.48124,15600.0,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
13,13830.24902,17594.0,Chevrolet,Cobalt,Sedan 4D,Sedan,4,2.2,4,0,1,1
14,19641.7419,31324.0,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,1
15,16341.8041,25394.0,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,0,1,1
16,13699.035780000002,25845.0,Chevrolet,Cobalt,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
17,30731.94165,22479.0,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2.0,2,1,0,0
18,15077.17584,13262.0,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,0,1,1
19,42773.02839,14546.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,1,1
20,22525.26972,19521.0,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,1,1
21,14847.04415,12980.0,Chevrolet,Cobalt,LS Sedan 4D,Sedan,4,2.2,4,0,1,1
22,33540.53611,20925.0,SAAB,9_3,Linear Conv 2D,Convertible,4,2.0,2,1,0,1
23,55639.08765,31805.0,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,0,1
24,21956.34266,17787.0,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0
25,18856.01869,22423.0,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,1,0
26,18566.0707,24747.0,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,1,1
27,15623.919759999999,21272.0,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,1,1,1
28,19528.100430000002,,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,1,1,0
29,15457.17059,29925.0,Pontiac,Grand Prix,GT Sedan 4D,Sedan,6,3.8,4,1,1,0
30,17316.0966,19593.0,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,1,1,1
31,8768.998585,35299.0,Chevrolet,AVEO,SVM Sedan 4D,Sedan,4,1.6,4,0,0,0
32,12684.98623,29891.0,Chevrolet,Cobalt,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
33,26190.27147,17335.0,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,0,1
34,13540.041640000001,17343.0,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,0,1,1
35,19682.03501,11554.0,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,0,1
36,16339.17032,,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,1
37,29844.203999999998,23143.0,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
38,15059.134080000002,22641.0,Pontiac,Grand Am,GT Coupe 2D,Coupe,6,3.4,2,1,1,1
39,19294.7875,19539.0,Pontiac,G6,Sedan 4D,Sedan,6,3.5,4,1,0,0
40,18063.00491,27574.0,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,0,0
41,15709.052819999999,,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
42,48365.9809,,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,1,1
43,26841.080840000002,10003.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,1,0
44,36210.123,21778.0,Cadillac,STS-V6,Sedan 4D,Sedan,6,3.6,4,1,0,1
45,15724.252169999998,23989.0,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,0,0
46,15832.51835,31202.0,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,1,1
47,15821.949719999999,14304.0,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,0,1
48,22926.090369999998,14363.0,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,1
49,35622.1395,10340.0,SAAB,9_3,Linear Conv 2D,Convertible,4,2.0,2,1,1,0
50,12243.06062,25014.0,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,1,1,1
51,12981.95203,20309.0,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,1,1,1
52,14061.122769999998,4922.0,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,0,1,1
53,24852.495280000003,22814.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,1,1
54,15047.00274,12305.0,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,1,1,1
55,13007.98418,7372.0,Chevrolet,Cavalier,Coupe 2D,Coupe,4,2.2,2,1,1,1
56,34819.297119999996,12251.0,SAAB,9_3,Linear Conv 2D,Convertible,4,2.0,2,1,0,0
57,16116.84392,865.0,Chevrolet,Cobalt,LT Sedan 4D,Sedan,4,2.2,4,1,1,1
58,25452.47385,11892.0,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,0,1
59,35715.768560000004,6447.0,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,0,1
60,49248.15897,6685.0,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,0,1
61,28432.824210000002,25247.0,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
62,19924.15905,19800.0,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
63,17663.22495,19490.0,Chevrolet,Malibu,LT MAXX Hback 4D,Hatchback,6,3.5,4,1,1,1
64,34392.99527,24031.0,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2.0,2,1,0,1
65,23733.40225,27600.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,1,0
66,12146.18803,10011.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,0,0,1
67,32053.09716,5144.0,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2.0,4,1,1,0
68,12549.89233,25816.0,Chevrolet,Cavalier,LS Coupe 2D,Coupe,4,2.2,2,0,1,1
69,15554.283130000002,33357.0,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,1,1
70,17463.04608,11393.0,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,1,1,1
71,23578.16486,19148.0,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,0,1
72,21200.69021,31197.0,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,1,1
73,21383.06716,7287.0,Pontiac,G6,Sedan 4D,Sedan,6,3.5,4,1,1,1
74,11169.91839,22380.0,Chevrolet,AVEO,LT Sedan 4D,Sedan,4,1.6,4,0,1,0
75,12408.80615,10213.0,Chevrolet,AVEO,LT Sedan 4D,Sedan,4,1.6,4,0,0,1
76,36332.89469,,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,0,1
77,17675.83749,5131.0,Pontiac,Grand Am,GT Coupe 2D,Coupe,6,3.4,2,0,1,1
78,19567.25929,2189.0,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,1,1
79,11096.85727,20334.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,1,0,0
80,35866.58271,,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,1,1
81,19105.130119999998,24008.0,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,0,0
82,22661.04849,20105.0,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,0,0
83,23345.32907,22964.0,Chevrolet,Impala,SS Sedan 4D,Sedan,6,3.8,4,1,1,1
84,36077.79612,,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
85,30353.58555,11273.0,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2.0,4,1,1,0
86,30251.01842,27558.0,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2.0,2,1,0,1
87,14175.87908,21627.0,Chevrolet,Cobalt,LT Sedan 4D,Sedan,4,2.2,4,0,1,1
88,39547.5879,23826.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,1,1
89,14546.88481,33374.0,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,1,1
90,16993.78033,23621.0,Chevrolet,Malibu,LS Sedan 4D,Sedan,6,3.5,4,0,1,1
91,18529.342119999998,30063.0,Pontiac,G6,GT Sedan 4D,Sedan,6,3.5,4,1,0,1
92,30781.51563,14937.0,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1
93,16853.10785,17959.0,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,0,0
94,18169.375480000002,14754.0,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
95,44130.617060000004,21341.0,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,0,1
96,28502.30611,27199.0,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,1,1
97,36970.89805,30502.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,1,1
98,15979.01484,3946.0,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,1,1,1
99,10921.94537,27776.0,Chevrolet,AVEO,LT Sedan 4D,Sedan,4,1.6,4,1,0,0
100,41671.583139999995,,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,0,1
101,17553.75368,18451.0,Chevrolet,Malibu,LT MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
102,70755.46672000001,583.0,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
103,20902.10379,29649.0,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,1
104,22736.834469999998,5690.0,Pontiac,G6,GT Sedan 4D,Sedan,6,3.5,4,1,1,1
105,19338.376,27966.0,Pontiac,Bonneville,SLE Sedan 4D,Sedan,6,3.8,4,1,0,1
106,32075.98487,23553.0,SAAB,9_3,Linear Conv 2D,Convertible,4,2.0,2,1,1,0
107,15253.868569999999,20917.0,Pontiac,Grand Am,GT Coupe 2D,Coupe,6,3.4,2,1,1,1
108,15084.8154,14824.0,Chevrolet,Cobalt,LT Sedan 4D,Sedan,4,2.2,4,1,1,1
109,13464.802880000001,14231.0,Chevrolet,Cavalier,LS Sport Coupe 2D,Coupe,4,2.2,2,1,1,1
110,17214.325080000002,12610.0,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,1,1,1
111,13034.06853,23976.0,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,0,1,1
112,26789.832609999998,22189.0,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2.0,4,1,0,0
113,34297.30535,,Chevrolet,Corvette,Coupe 2D,Coupe,8,6.0,2,1,0,1
114,21831.82292,25564.0,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,1
115,16218.84786,13196.0,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
116,46732.60603,3625.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,1,1
117,13041.874,13607.0,Chevrolet,Cavalier,Coupe 2D,Coupe,4,2.2,2,0,1,1
118,33381.81915,17381.0,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2.0,2,1,1,1
119,41516.429860000004,,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,1,1
120,11581.905040000001,36566.0,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,0,1,1
121,14198.09246,11322.0,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,1,1,1
122,19556.89932,25245.0,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0
123,25267.36768,34175.0,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2.0,4,1,1,0
124,37510.25357,,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,0,1
125,21982.64771,20472.0,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,1,1
126,33183.3326,9795.0,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
127,22100.39317,12314.0,Pontiac,Grand Prix,GTP Sedan 4D,Sedan,6,3.8,4,1,1,0
128,16391.17171,21304.0,Pontiac,Grand Prix,GT Sedan 4D,Sedan,6,3.8,4,1,1,0
129,11215.01865,19945.0,Chevrolet,AVEO,LS Sedan 4D,Sedan,4,1.6,4,0,0,0
130,15589.780480000001,21307.0,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,0
131,18727.508380000003,14054.0,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,1,1
132,10777.05254,27906.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,0,0,0
133,38824.86909,25960.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,0,1
134,15951.811169999999,26070.0,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,1,1
135,16283.958990000001,26511.0,Pontiac,Grand Prix,GT Sedan 4D,Sedan,6,3.8,4,1,0,1
136,15977.911080000002,17053.0,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,1
137,12464.07346,21891.0,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,1,1,1
138,16792.67953,12071.0,Pontiac,Grand Am,GT Coupe 2D,Coupe,6,3.4,2,1,1,1
139,11115.013640000001,30056.0,Chevrolet,AVEO,LT Hatchback 4D,Hatchback,4,1.6,4,1,1,1
140,36633.633819999995,22042.0,Cadillac,STS-V6,Sedan 4D,Sedan,6,3.6,4,1,1,1
141,16646.7708,20154.0,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,0,1,1
142,27425.843910000003,23886.0,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,0,1
143,13678.863000000001,17971.0,Chevrolet,Cavalier,LS Sport Coupe 2D,Coupe,4,2.2,2,1,1,1
144,16267.09489,21452.0,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
145,25097.47325,14461.0,Chevrolet,Impala,SS Sedan 4D,Sedan,6,3.8,4,1,1,1
146,23249.84169,27686.0,SAAB,9_3,Linear Sedan 4D,Sedan,4,2.0,4,1,0,0
147,20109.90412,22891.0,Pontiac,Bonneville,SLE Sedan 4D,Sedan,6,3.8,4,1,1,1
148,38324.80908,12090.0,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2.0,2,1,1,1
149,15730.046269999999,21391.0,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,1,1
150,13160.12456,13145.0,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,0,1,1
151,12507.485270000001,19715.0,Chevrolet,Cavalier,LS Sport Coupe 2D,Coupe,4,2.2,2,1,1,1
152,13446.213419999998,17741.0,Chevrolet,Cavalier,LS Coupe 2D,Coupe,4,2.2,2,0,1,1
153,38297.46254,16754.0,Cadillac,STS-V6,Sedan 4D,Sedan,6,3.6,4,1,0,1
154,22230.0275,22102.0,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,1
155,43374.05242,25199.0,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,1,1
156,16988.30306,24905.0,Chevrolet,Malibu,LT MAXX Hback 4D,Hatchback,6,3.5,4,1,1,1
157,14023.93855,13776.0,Chevrolet,Cobalt,Coupe 2D,Coupe,4,2.2,2,0,1,1
158,19027.86231,21797.0,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,0,1
159,39092.18992,,Chevrolet,Corvette,Coupe 2D,Coupe,8,6.0,2,1,1,1
160,47065.209910000005,5239.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,1,1
161,25098.62906,10014.0,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,0
162,24173.52588,27015.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,0,0
163,9919.048185,34621.0,Chevrolet,AVEO,LT Sedan 4D,Sedan,4,1.6,4,0,1,0
164,16295.211440000001,28239.0,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,0,1,1
165,16723.99388,19740.0,Chevrolet,Malibu,LS MAXX Hback 4D,Hatchback,6,3.5,4,1,1,1
166,11961.61996,27394.0,Chevrolet,Cobalt,Coupe 2D,Coupe,4,2.2,2,1,1,1
167,26302.07428,13050.0,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,1,0
168,17801.22953,19386.0,Chevrolet,Malibu,LS MAXX Hback 4D,Hatchback,6,3.5,4,1,1,1
169,12465.50852,23931.0,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,0,1,1
170,32422.76138,9185.0,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,1,1
171,27370.958110000003,24960.0,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,1,1
172,9041.906254000001,26191.0,Chevrolet,AVEO,SVM Sedan 4D,Sedan,4,1.6,4,0,0,1
173,16256.236169999998,22637.0,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,0,0
